0310_ZFFL55_AAN155_1E-6_ACN_exc375_comparative

Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_O2_NewSample,0310_ZFFL55_AAN155_1E-6_ACN_exc375_5min argon,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_O2,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_5min Argon,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,

614.00,6.59632861E+3,1.68001621E+4,1.15521777E+4,5.19387695E+4,
616.00,5.94951953E+3,1.64205137E+4,1.13642471E+4,5.29002422E+4,
618.00,6.28815332E+3,1.64324063E+4,1.14408164E+4,5.28337031E+4,
620.00,5.98051465E+3,1.64212793E+4,1.11314512E+4,5.33435781E+4,
622.00,5.52525977E+3,1.64407480E+4,1.11095537E+4,5.24647070E+4,
624.00,5.68958008E+3,1.61268770E+4,1.09273789E+4,5.28288203E+4,
626.00,5.10611426E+3,1.61088770E+4,1.14814971E+4,5.32674102E+4,
628.00,5.34615332E+3,1.60133193E+4,1.07351797E+4,5.25418047E+4,
630.00,5.08451465E+3,1.53211670E+4,1.11337871E+4,5.39398828E+4,
632.00,4.78014209E+3,1.58859629E+4,1.08144512E+4,5.20785039E+4,
634.00,4.75695947E+3,1.52315928E+4,1.11542051E+4,5.30112813E+4,
636.00,4.34447070E+3,1.54179746E+4,1.09902676E+4,5.08781211E+4,
638.00,4.68244580E+3,1.54663633E+4,1.08335938E+4,5.13349844E+4,
640.00,4.10438281E+3,1.46790039E+4,1.03118027E+4,5.10010781E+4,
642.00,4.18107617E+3,1.52520645E+4,1.10203496E+4,5.13977305E+4,
644.00,4.18409863E+3,1.50486641E+4,1.06336406E+4,5.02884414E+4,
646.00,4.23959033E+3,1.50039443E+4,1.05147393E+4,4.91144844E+4,
648.00,3.93118237E+3,1.47053418E+4,1.02527637E+4,4.88279336E+4,
650.00,3.59922656E+3,1.44932734E+4,1.03592910E+4,4.87614922E+4,
652.00,3.70058618E+3,1.36801553E+4,1.01135039E+4,4.88076523E+4,
654.00,3.52942261E+3,1.46504932E+4,9.94490625E+3,4.73393516E+4,
656.00,3.34744507E+3,1.42917236E+4,9.45070410E+3,4.71294805E+4,
658.00,3.38402295E+3,1.38919385E+4,9.58054688E+3,4.63388086E+4,
660.00,3.04133228E+3,1.42582188E+4,9.90797070E+3,4.56426250E+4,
662.00,3.21791455E+3,1.31883008E+4,9.30944824E+3,4.48578633E+4,
664.00,3.36584253E+3,1.33828271E+4,8.94943359E+3,4.41322188E+4,
666.00,3.00877368E+3,1.30707490E+4,9.14433984E+3,4.31052305E+4,
668.00,2.82333252E+3,1.36388301E+4,9.07253027E+3,4.33853711E+4,
670.00,2.88229688E+3,1.28471104E+4,8.66072363E+3,4.23156992E+4,
672.00,2.88039380E+3,1.28335195E+4,8.38976758E+3,4.21481445E+4,
674.00,2.55108105E+3,1.24375234E+4,8.02187109E+3,3.93945508E+4,
676.00,2.67242676E+3,1.24142041E+4,7.95473047E+3,3.94268945E+4,
678.00,2.53834058E+3,1.19797734E+4,8.42130273E+3,3.85079180E+4,
680.00,2.58876172E+3,1.23632451E+4,8.30033789E+3,3.84515156E+4,
682.00,2.04951245E+3,1.20628799E+4,7.84953662E+3,3.68779648E+4,
684.00,2.26583643E+3,1.21515723E+4,7.41557227E+3,3.66442695E+4,
686.00,2.19293115E+3,1.16044629E+4,7.44528809E+3,3.63537266E+4,
