1909_ZFFL55_AAN155_1E-5_ACN_exc375_ALL

Labels,1908_ZFFL55_AAN155_1E-5_ACN_exc375_O2,1909_ZFFL55_AAN155_1E-5_ACN_exc375_1minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_2minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_3minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_4minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

508.00,2.06294688E+5,2.48586969E+5,2.57773406E+5,2.52800453E+5,2.55358344E+5,2.54796078E+5,
510.00,2.05572828E+5,2.47778000E+5,2.56122000E+5,2.51773188E+5,2.54102703E+5,2.54795094E+5,
512.00,2.03311766E+5,2.46676984E+5,2.56590125E+5,2.50759781E+5,2.50468078E+5,2.53967891E+5,
514.00,2.00328016E+5,2.43253906E+5,2.51784891E+5,2.47474031E+5,2.49033391E+5,2.50874516E+5,
516.00,1.99096219E+5,2.38902156E+5,2.49737422E+5,2.45812109E+5,2.47331859E+5,2.46966234E+5,
518.00,1.95802688E+5,2.35907250E+5,2.45609531E+5,2.42767953E+5,2.44255359E+5,2.43676938E+5,
520.00,1.92868250E+5,2.31653625E+5,2.42993859E+5,2.39109875E+5,2.41226547E+5,2.41272859E+5,
522.00,1.88421547E+5,2.27046188E+5,2.40099219E+5,2.34985500E+5,2.36960938E+5,2.37556781E+5,
524.00,1.84808031E+5,2.24210484E+5,2.34182500E+5,2.30599922E+5,2.32368984E+5,2.33740672E+5,
526.00,1.81386406E+5,2.20919453E+5,2.31851828E+5,2.28364875E+5,2.28612703E+5,2.28541406E+5,
528.00,1.77295250E+5,2.16545828E+5,2.25932344E+5,2.22813859E+5,2.24762797E+5,2.25526828E+5,
530.00,1.73138141E+5,2.11386656E+5,2.23186375E+5,2.20831500E+5,2.20542625E+5,2.22601594E+5,
532.00,1.68315781E+5,2.07742172E+5,2.18611750E+5,2.14689688E+5,2.18516516E+5,2.16957328E+5,
534.00,1.65510875E+5,2.02447828E+5,2.14890000E+5,2.11951844E+5,2.12095625E+5,2.13909750E+5,
536.00,1.60465563E+5,2.00181406E+5,2.10565641E+5,2.08153688E+5,2.09781406E+5,2.10401078E+5,
538.00,1.55896328E+5,1.95081375E+5,2.06992844E+5,2.04789500E+5,2.05190766E+5,2.06482359E+5,
540.00,1.52631484E+5,1.91070469E+5,2.01069109E+5,1.99223641E+5,1.98926969E+5,2.01867250E+5,
542.00,1.47927063E+5,1.86997406E+5,1.98050703E+5,1.94410797E+5,1.98678313E+5,1.97213203E+5,
544.00,1.43743078E+5,1.82811781E+5,1.94354688E+5,1.91627953E+5,1.93967531E+5,1.93396859E+5,
546.00,1.38014797E+5,1.79035625E+5,1.91557469E+5,1.88465844E+5,1.90773125E+5,1.90577703E+5,
548.00,1.35373047E+5,1.74722953E+5,1.87441391E+5,1.84450797E+5,1.87414328E+5,1.86117156E+5,
550.00,1.29731602E+5,1.70983734E+5,1.82954172E+5,1.81695563E+5,1.83830375E+5,1.84308172E+5,
552.00,1.25894906E+5,1.68511969E+5,1.80377875E+5,1.78995656E+5,1.80091797E+5,1.80974719E+5,
554.00,1.22431188E+5,1.64051281E+5,1.77137234E+5,1.75045547E+5,1.78010359E+5,1.77366094E+5,
556.00,1.17777828E+5,1.60790141E+5,1.74081656E+5,1.71668953E+5,1.74716078E+5,1.73884766E+5,
558.00,1.14666336E+5,1.58363078E+5,1.70530688E+5,1.66948266E+5,1.69963516E+5,1.71308922E+5,
560.00,1.10682703E+5,1.54922281E+5,1.66708266E+5,1.65450344E+5,1.69274656E+5,1.69010516E+5,
