Labels,1909_LIFETIME_AAN155_EPL375_50KHz_20micro_9182ch_30min_slit2_emi502_1minAr,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19997.559000,
Step,2.4414063,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

957.031250,1.00000000E+0,
959.472660,5.00000000E+0,
961.914060,2.00000000E+0,
964.355470,4.00000000E+0,
966.796880,4.00000000E+0,
969.238280,5.00000000E+0,
971.679690,4.00000000E+0,
974.121090,3.00000000E+0,
976.562500,3.00000000E+0,
979.003910,2.00000000E+0,
981.445310,1.00000000E+0,
983.886720,4.00000000E+0,
986.328130,2.00000000E+0,
988.769530,6.00000000E+0,
991.210940,5.00000000E+0,
993.652340,3.00000000E+0,
996.093750,1.00000000E+0,
998.535160,1.00000000E+0,
1000.976600,2.00000000E+0,
1003.418000,3.00000000E+0,
1005.859400,3.00000000E+0,
1008.300800,4.00000000E+0,
1010.742200,0.00000000E+0,
1013.183600,4.00000000E+0,
1015.625000,6.00000000E+0,
1018.066400,2.00000000E+0,
1020.507800,2.00000000E+0,
1022.949200,4.00000000E+0,
1025.390600,1.00000000E+0,
1027.832000,5.00000000E+0,
1030.273400,1.00000000E+0,
1032.714800,1.00000000E+0,
1035.156300,2.00000000E+0,
1037.597700,2.00000000E+0,
1040.039100,2.00000000E+0,
1042.48000,0.00000000E+0,
1044.921900,2.00000000E+0,
1047.363300,0.00000000E+0,
1049.804700,2.00000000E+0,
1052.246100,5.00000000E+0,
1054.687500,2.00000000E+0,
1057.128900,5.00000000E+0,
1059.57000,3.00000000E+0,
1062.011700,0.00000000E+0,
1064.453100,2.00000000E+0,
1066.894500,2.00000000E+0,
1069.335900,2.00000000E+0,
1071.777300,3.00000000E+0,
1074.218800,1.00000000E+0,
1076.66000,3.00000000E+0,
1079.101600,0.00000000E+0,
1081.543000,2.00000000E+0,
1083.984400,3.00000000E+0,
1086.425800,5.00000000E+0,
1088.867200,1.00000000E+0,
1091.308600,4.00000000E+0,
1093.75000,2.00000000E+0,
1096.191400,4.00000000E+0,
1098.632800,2.00000000E+0,
1101.074200,4.00000000E+0,
1103.515600,1.00000000E+0,
1105.957000,0.00000000E+0,
1108.398400,2.00000000E+0,
1110.84000,2.00000000E+0,
1113.281300,5.00000000E+0,
1115.722700,3.00000000E+0,
1118.164100,3.00000000E+0,
1120.605500,2.00000000E+0,
1123.046900,3.00000000E+0,
1125.488300,2.00000000E+0,
1127.93000,6.00000000E+0,
1130.371100,2.00000000E+0,
1132.812500,2.00000000E+0,
1135.253900,4.00000000E+0,
1137.695300,3.00000000E+0,
1140.136700,2.00000000E+0,
1142.578100,4.00000000E+0,
1145.02000,2.00000000E+0,
1147.460900,2.00000000E+0,
1149.902300,4.00000000E+0,
1152.343800,1.00000000E+0,
1154.785200,1.00000000E+0,
1157.226600,1.00000000E+0,
1159.668000,4.00000000E+0,
1162.109400,3.00000000E+0,
1164.550800,1.00000000E+0,
1166.992200,5.00000000E+0,
1169.433600,1.00000000E+0,
1171.875000,0.00000000E+0,
