2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_ALL

Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_O2,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_1min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_2min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_3min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_4min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_5min,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

618.00,5.49000352E+4,3.43144938E+5,3.63260031E+5,4.64513469E+5,4.50932500E+5,4.34615719E+5,
620.00,5.49772500E+4,3.43978250E+5,3.65497563E+5,4.64370063E+5,4.51562719E+5,4.32419406E+5,
622.00,5.44072813E+4,3.42194625E+5,3.64407375E+5,4.67720656E+5,4.51974969E+5,4.37752125E+5,
624.00,5.36306563E+4,3.43600094E+5,3.64213781E+5,4.64503281E+5,4.53462719E+5,4.36569313E+5,
626.00,5.42810586E+4,3.43268531E+5,3.62896344E+5,4.65430125E+5,4.54233625E+5,4.34271813E+5,
628.00,5.44010742E+4,3.43586531E+5,3.62044281E+5,4.63814125E+5,4.50530906E+5,4.35361156E+5,
630.00,5.43491680E+4,3.41297656E+5,3.59220469E+5,4.65397844E+5,4.50710281E+5,4.32954594E+5,
632.00,5.26262070E+4,3.38798844E+5,3.60536000E+5,4.60940969E+5,4.48398094E+5,4.33219938E+5,
634.00,5.34801719E+4,3.37111969E+5,3.57959844E+5,4.61509781E+5,4.44171531E+5,4.32757813E+5,
636.00,5.29506836E+4,3.34371125E+5,3.55093719E+5,4.58841156E+5,4.42658250E+5,4.26920438E+5,
638.00,5.21182148E+4,3.33268406E+5,3.55392031E+5,4.54824938E+5,4.41602344E+5,4.25913875E+5,
640.00,5.06665547E+4,3.33795531E+5,3.50947813E+5,4.48964094E+5,4.36613500E+5,4.20225031E+5,
642.00,5.21123828E+4,3.26465281E+5,3.50525813E+5,4.45663563E+5,4.33729031E+5,4.15770906E+5,
644.00,5.07164180E+4,3.24078938E+5,3.41253344E+5,4.42300344E+5,4.28206063E+5,4.14640531E+5,
646.00,4.99055938E+4,3.22519313E+5,3.42033813E+5,4.39692625E+5,4.26110500E+5,4.09999719E+5,
648.00,5.07722852E+4,3.15257906E+5,3.39935156E+5,4.29650031E+5,4.19493344E+5,4.05111000E+5,
650.00,4.92206719E+4,3.12705938E+5,3.31681531E+5,4.24494688E+5,4.16819156E+5,3.99887656E+5,
652.00,4.76457930E+4,3.10912375E+5,3.28523688E+5,4.23758406E+5,4.06680594E+5,3.96675469E+5,
654.00,4.77643047E+4,3.05885906E+5,3.22677531E+5,4.16008563E+5,4.05496938E+5,3.88656281E+5,
656.00,4.70806484E+4,3.02187813E+5,3.21085688E+5,4.11357375E+5,3.98186625E+5,3.85003719E+5,
