Labels,0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

1601.562500,6.00000000E+0,
1606.445300,1.20000000E+1,
1611.328100,1.60000000E+1,
1616.210900,1.20000000E+1,
1621.093800,7.00000000E+0,
1625.976600,8.00000000E+0,
1630.859400,6.00000000E+0,
1635.742200,9.00000000E+0,
1640.625000,8.00000000E+0,
1645.507800,9.00000000E+0,
1650.390600,9.00000000E+0,
1655.273400,8.00000000E+0,
1660.156300,5.00000000E+0,
1665.039100,1.10000000E+1,
1669.921900,6.00000000E+0,
1674.804700,4.00000000E+0,
1679.687500,1.00000000E+1,
1684.57000,1.10000000E+1,
1689.453100,1.10000000E+1,
1694.335900,8.00000000E+0,
1699.218800,8.00000000E+0,
1704.101600,4.00000000E+0,
1708.984400,8.00000000E+0,
1713.867200,7.00000000E+0,
1718.75000,2.00000000E+0,
1723.632800,4.00000000E+0,
1728.515600,6.00000000E+0,
1733.398400,8.00000000E+0,
1738.281300,5.00000000E+0,
1743.164100,6.00000000E+0,
1748.046900,7.00000000E+0,
1752.93000,7.00000000E+0,
1757.812500,8.00000000E+0,
1762.695300,7.00000000E+0,
1767.578100,8.00000000E+0,
1772.460900,5.00000000E+0,
1777.343800,7.00000000E+0,
1782.226600,6.00000000E+0,
1787.109400,7.00000000E+0,
1791.992200,7.00000000E+0,
1796.875000,7.00000000E+0,
1801.757800,1.30000000E+1,
1806.640600,9.00000000E+0,
1811.523400,1.10000000E+1,
1816.406300,6.00000000E+0,
1821.289100,6.00000000E+0,
1826.171900,1.30000000E+1,
1831.054700,7.00000000E+0,
1835.937500,1.00000000E+0,
1840.82000,9.00000000E+0,
1845.703100,7.00000000E+0,
1850.585900,1.00000000E+1,
1855.468800,1.00000000E+1,
1860.351600,7.00000000E+0,
1865.234400,6.00000000E+0,
1870.117200,7.00000000E+0,
1875.000,5.00000000E+0,
1879.882800,6.00000000E+0,
1884.765600,1.30000000E+1,
1889.648400,7.00000000E+0,
1894.531300,8.00000000E+0,
1899.414100,7.00000000E+0,
1904.296900,6.00000000E+0,
1909.18000,6.00000000E+0,
1914.062500,6.00000000E+0,
1918.945300,1.00000000E+1,
1923.828100,3.00000000E+0,
1928.710900,7.00000000E+0,
1933.593800,6.00000000E+0,
1938.476600,4.00000000E+0,
1943.359400,5.00000000E+0,
1948.242200,7.00000000E+0,
1953.125000,9.00000000E+0,
1958.007800,8.00000000E+0,
1962.890600,5.00000000E+0,
1967.773400,5.00000000E+0,
1972.656300,9.00000000E+0,
1977.539100,4.00000000E+0,
1982.421900,6.00000000E+0,
1987.304700,7.00000000E+0,
1992.187500,1.50000000E+1,
1997.07000,4.00000000E+0,
2001.953100,1.00000000E+1,
2006.835900,9.00000000E+0,
2011.718800,7.00000000E+0,
2016.601600,4.00000000E+0,
2021.484400,6.00000000E+0,
2026.367200,7.00000000E+0,
2031.25000,6.00000000E+0,
2036.132800,9.00000000E+0,
2041.015600,4.00000000E+0,
2045.898400,2.00000000E+0,
2050.781300,8.00000000E+0,
2055.664100,1.00000000E+0,
2060.546900,7.00000000E+0,
2065.43000,8.00000000E+0,
2070.312500,7.00000000E+0,
2075.195300,7.00000000E+0,
2080.078100,4.00000000E+0,
2084.960900,7.00000000E+0,
2089.843800,7.00000000E+0,
2094.726600,8.00000000E+0,
2099.609400,9.00000000E+0,
2104.492200,3.00000000E+0,
2109.375000,4.00000000E+0,
2114.257800,5.00000000E+0,
2119.140600,9.00000000E+0,
2124.023400,5.00000000E+0,
2128.906300,9.00000000E+0,
2133.789100,7.00000000E+0,
2138.671900,1.20000000E+1,
2143.554700,8.00000000E+0,
2148.437500,8.00000000E+0,
2153.32000,6.00000000E+0,
2158.203100,7.00000000E+0,
2163.085900,9.00000000E+0,
2167.968800,6.00000000E+0,
